region,instance_type
ap-northeast-1,r6in.8xlarge
ap-northeast-1,c6gn.4xlarge
ap-northeast-1,u-3tb1.56xlarge
ap-northeast-1,g6.4xlarge
ap-northeast-1,c5d.large
ap-northeast-1,t2.small
ap-northeast-1,c7g.16xlarge
ap-northeast-1,m6id.8xlarge
ap-northeast-1,d3en.12xlarge
ap-northeast-1,m5a.16xlarge
ap-northeast-1,c5n.18xlarge
ap-northeast-1,r5b.16xlarge
ap-northeast-1,d3.2xlarge
ap-northeast-1,c5a.16xlarge
ap-northeast-1,r7g.metal
ap-northeast-1,c6g.large
ap-northeast-1,r6i.12xlarge
ap-northeast-1,c7gn.8xlarge
ap-northeast-1,t3a.xlarge
ap-northeast-1,m6i.12xlarge
ap-northeast-1,p3dn.24xlarge
ap-northeast-1,c6id.2xlarge
ap-northeast-1,c6a.metal
ap-northeast-1,p5en.48xlarge
ap-northeast-1,r6id.metal
ap-northeast-1,m5.4xlarge
ap-northeast-1,r5dn.12xlarge
ap-northeast-1,m5n.large
ap-northeast-1,g5g.8xlarge
ap-northeast-1,r5b.12xlarge
ap-northeast-1,r5a.16xlarge
ap-northeast-1,x2iedn.16xlarge
ap-northeast-1,x2iezn.metal
ap-northeast-1,p2.xlarge
ap-northeast-1,m5d.16xlarge
ap-northeast-1,c7gn.2xlarge
ap-northeast-1,r5ad.8xlarge
ap-northeast-1,m5ad.24xlarge
ap-northeast-1,r6id.32xlarge
ap-northeast-1,z1d.xlarge
ap-northeast-1,r5.4xlarge
ap-northeast-1,r7iz.metal-32xl
ap-northeast-1,r6gd.metal
ap-northeast-1,c5n.metal
ap-northeast-1,z1d.3xlarge
ap-northeast-1,m7i.xlarge
ap-northeast-1,m7i.12xlarge
ap-northeast-1,m7gd.16xlarge
ap-northeast-1,x2iezn.12xlarge
ap-northeast-1,g6e.16xlarge
ap-northeast-1,a1.large
ap-northeast-1,c6a.48xlarge
ap-northeast-1,r7a.12xlarge
ap-northeast-1,g4dn.8xlarge
ap-northeast-1,c6g.xlarge
ap-northeast-1,c7gn.4xlarge
ap-northeast-1,c5d.9xlarge
ap-northeast-1,c7gd.16xlarge
ap-northeast-1,x2iedn.8xlarge
ap-northeast-1,inf2.8xlarge
ap-northeast-1,c7g.xlarge
ap-northeast-1,i4i.16xlarge
ap-northeast-1,m7gd.8xlarge
ap-northeast-1,m7a.8xlarge
ap-northeast-1,m6i.4xlarge
ap-northeast-1,r7g.8xlarge
ap-northeast-1,c6i.12xlarge
ap-northeast-1,m5ad.xlarge
ap-northeast-1,t4g.2xlarge
ap-northeast-1,r7g.12xlarge
ap-northeast-1,m7a.large
ap-northeast-1,m5d.4xlarge
ap-northeast-1,r7a.metal-48xl
ap-northeast-1,m7a.metal-48xl
ap-northeast-1,r7gd.8xlarge
ap-northeast-1,m7i-flex.4xlarge
ap-northeast-1,c5a.large
ap-northeast-1,c5.large
ap-northeast-1,c6gn.medium
